Id,Predicted
0,0
1,1
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,0
108,1
109,1
110,1
111,0
112,1
113,0
114,1
115,1
116,0
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,1
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,1
239,0
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,0
249,1
250,1
251,0
252,0
253,1
254,1
255,0
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,0
311,1
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,0
327,1
328,1
329,0
330,0
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,1
383,1
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,0
406,1
407,0
408,0
409,0
410,1
411,1
412,0
413,0
414,1
415,0
416,1
417,0
418,1
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,0
437,0
438,1
439,1
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,0
468,0
469,1
470,1
471,0
472,0
473,0
474,0
475,0
476,1
477,1
478,1
479,0
480,0
481,1
482,0
483,1
484,0
485,1
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,1
500,1
501,0
502,1
503,0
504,1
505,1
506,0
507,1
508,1
509,0
510,0
511,1
512,1
513,0
514,1
515,0
516,1
517,1
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,0
531,0
532,1
533,1
534,1
535,0
536,0
537,0
538,0
539,0
540,1
541,0
542,0
543,1
544,0
545,1
546,1
547,1
548,0
549,1
550,1
551,1
552,1
553,0
554,0
555,1
556,0
557,0
558,1
559,0
560,1
561,0
562,0
563,0
564,1
565,1
566,0
567,0
568,0
569,0
570,0
571,1
572,1
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,1
581,0
582,1
583,1
584,0
585,0
586,0
587,0
588,1
589,0
590,1
591,1
592,1
593,0
594,0
595,1
596,1
597,0
598,1
599,0
600,1
601,1
602,1
603,0
604,1
605,1
606,1
607,1
608,0
609,1
610,1
611,0
612,1
613,0
614,0
615,1
616,0
617,1
618,0
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,1
627,0
628,0
629,1
630,0
631,0
632,1
633,1
634,0
635,0
636,1
637,1
638,1
639,0
640,1
641,1
642,0
643,0
644,1
645,0
646,1
647,0
648,0
649,1
650,1
651,0
652,1
653,1
654,1
655,1
656,0
657,0
658,0
659,1
660,0
661,0
662,0
663,0
664,0
665,1
666,1
667,0
668,1
669,1
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,1
678,0
679,1
680,0
681,0
682,1
683,0
684,0
685,1
686,0
687,0
688,0
689,1
690,1
691,1
692,1
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,1
703,0
704,1
705,0
706,0
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,0
718,1
719,0
720,1
721,0
722,1
723,0
724,1
725,0
726,1
727,0
728,1
729,0
730,1
731,0
732,1
733,0
734,1
735,0
736,1
737,0
738,0
739,1
740,1
741,1
742,1
743,0
744,0
745,1
746,0
747,0
748,0
749,1
750,1
751,1
752,1
753,0
754,0
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,0
771,0
772,0
773,1
774,0
775,0
776,0
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,1
790,1
791,0
792,0
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,1
801,0
802,1
803,0
804,1
805,0
806,1
807,0
808,0
809,0
810,1
811,1
812,1
813,0
814,0
815,1
816,0
817,1
818,0
819,1
820,0
821,0
822,0
823,0
824,0
825,1
826,1
827,0
828,0
829,1
830,1
831,1
832,0
833,1
834,1
835,0
836,1
837,1
838,0
839,1
840,0
841,1
842,1
843,0
844,1
845,0
846,1
847,1
848,1
849,0
850,0
851,1
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,0
861,1
862,1
863,1
864,1
865,0
866,1
867,1
868,1
869,0
870,1
871,0
872,0
873,0
874,0
875,1
876,0
877,1
878,1
879,1
880,1
881,0
882,1
883,1
884,0
885,0
886,1
887,0
888,0
889,1
890,0
891,0
892,1
893,0
894,1
895,1
896,1
897,0
898,0
899,0
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,0
908,1
909,0
910,1
911,0
912,0
913,0
914,1
915,0
916,1
917,0
918,0
919,1
920,1
921,0
922,1
923,0
924,1
925,0
926,1
927,0
928,0
929,1
930,1
931,1
932,0
933,0
934,1
935,0
936,0
937,0
938,0
939,1
940,1
941,0
942,0
943,1
944,1
945,1
946,1
947,1
948,0
949,0
950,0
951,1
952,0
953,1
954,0
955,0
956,1
957,1
958,1
959,0
960,1
961,1
962,0
963,0
964,0
965,0
966,1
967,1
968,0
969,0
970,1
971,1
972,0
973,1
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,1
982,0
983,0
984,1
985,1
986,1
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,1
995,1
996,0
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,0
1004,1
1005,0
1006,1
1007,1
1008,0
1009,0
1010,0
1011,1
1012,1
1013,1
1014,0
1015,1
1016,0
1017,1
1018,1
1019,0
1020,0
1021,0
1022,1
1023,0
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,0
1032,0
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,1
1048,1
1049,0
1050,1
1051,1
1052,0
1053,0
1054,0
1055,1
1056,0
1057,0
1058,0
1059,1
